dataset	super_pop	code
simons	p1	p1_proband
simons	fa	fa_father
simons	mo	mo_mother
simons	s1	s1_unaffected_sibling
1kg	AFR	AFR_African
1kg	AMR	AMR_Admixed_American
1kg	EAS	EAS_East_Asian
1kg	EUR	EUR_European
1kg	SAS	SAS_South_Asian
hgdp	AFR	AFR_African
hgdp	AMR	AMR_Americas
hgdp	EA	EA_East_Asian
hgdp	OCN	OCN_Oceanic
hgdp	SA	SA_South_Asian
hgdp	SIB	SIB_Siberia
hgdp	WEA	WEA_Western_European
archaics	ARC	ARC_Archaic
archaics	D&N	D&N_Denisova_and_Neanderthal
nhp	BONOBO	Bonobo
nhp	CHIMPANZEE	Chimpanzee
nhp	GORILLA	Gorilla
nhp	ORANGUTAN	Orangutan
